Desagregaciones (Provincia),Descripcion,ene.-09,feb.-09,mar.-09,abr.-09,may.-09,jun.-09,jul.-09,ago.-09,sep.-09,oct.-09,nov.-09,dic.-09,ene.-10,feb.-10,mar.-10,abr.-10,may.-10,jun.-10,jul.-10,ago.-10,sep.-10,oct.-10,nov.-10,dic.-10,ene.-11,feb.-11,mar.-11,abr.-11,may.-11,jun.-11,jul.-11,ago.-11,sep.-11,oct.-11,nov.-11,dic.-11,ene.-12,feb.-12,mar.-12,abr.-12,may.-12,jun.-12,jul.-12,ago.-12,sep.-12,oct.-12,nov.-12,dic.-12,ene.-13,feb.-13,mar.-13,abr.-13,may.-13,jun.-13,jul.-13,ago.-13,sep.-13,oct.-13,nov.-13,dic.-13,ene.-14,feb.-14,mar.-14,abr.-14,may.-14,jun.-14,jul.-14,ago.-14,sep.-14,oct.-14,nov.-14,dic.-14,ene.-15,feb.-15,mar.-15,abr.-15,may.-15,jun.-15,jul.-15,ago.-15,sep.-15,oct.-15,nov.-15,dic.-15,ene.-16,feb.-16,mar.-16,abr.-16,may.-16,jun.-16,jul.-16,ago.-16,sep.-16,oct.-16,nov.-16,dic.-16,ene.-17,feb.-17,mar.-17,abr.-17,may.-17,jun.-17,jul.-17,ago.-17,sep.-17,oct.-17,nov.-17,dic.-17,ene.-18,feb.-18,mar.-18,abr.-18,may.-18,jun.-18,jul.-18,ago.-18,sep.-18,oct.-18,nov.-18,dic.-18,ene.-19,feb.-19,mar.-19,abr.-19,may.-19,jun.-19,jul.-19,ago.-19,sep.-19,oct.-19,nov.-19,dic.-19,ene.-20,feb.-20,mar.-20,abr.-20,may.-20,jun.-20,jul.-20,ago.-20,sep.-20,oct.-20,nov.-20,dic.-20,ene.-21,feb.-21,mar.-21,abr.-21,may.-21,jun.-21,jul.-21,ago.-21,sep.-21,oct.-21,nov.-21,dic.-21,ene.-22,feb.-22,mar.-22,abr.-22,may.-22,jun.-22,jul.-22,ago.-22,sep.-22
15,Napo,1821,1833,1862,1869,1883,1933,1929,2019,2109,2133,2144,2170,2237,2263,2360,2513,2690,2810,2884,2953,3068,3127,3199,3154,3176,3442,3592,3660,3806,4158,4359,4428,4646,4726,4837,4866,4976,4979,5243,5417,5518,5431,5285,5225,5244,5365,5307,5351,5526,5482,5521,5546,5595,5579,5558,5568,5570,5728,5711,5676,7887,7865,7817,7778,7822,7793,7363,7340,7245,7374,7465,7509,5823,5798,5765,5725,5793,5894,5909,5940,5958,5899,5782,5737,5622,5679,5643,5488,5421,5366,5324,5168,5117,4953,4868,4813,4801,4713,4708,4734,4717,4725,4837,5014,4984,5034,4975,4964,4917,5009,5028,4863,4835,4835,4790,4838,4892,4970,5017,4917,4857,4842,4829,4805,4896,4892,4884,4997,4821,4677,4746,4741,4707,4629,4604,4387,4154,4148,4085,4056,4055,4098,4131,4106,4122,4072,4139,4131,4134,4251,4341,4313,4354,4323,4358,4346,4377,4404,4521,4485,4615,4521,4592,4749,4794
16,Pastaza,1767,1797,1826,1866,1866,1916,1959,2077,2244,2392,2445,2425,2487,2514,2566,2616,2656,2737,2740,2781,2854,2872,2955,2965,3105,3188,3274,3310,3497,3657,3783,3942,4001,4197,4262,4218,4346,4406,4463,4553,4718,4858,4850,4857,5085,5115,5132,5159,5226,5255,5289,5347,5370,5427,5417,5441,5447,5445,5468,5479,5452,5383,5374,5361,5332,5347,5302,5307,5371,5377,5269,5271,5287,5313,5369,5342,5334,5279,5222,5186,5245,5194,5192,5110,4939,4941,4860,4703,4708,4690,4627,4591,4678,4617,4579,4576,4473,4481,4459,4453,4475,4430,4404,4392,4422,4471,4530,4559,4690,4751,4729,4811,4796,4789,4775,4762,4813,4931,4891,4818,5040,4931,5002,4909,4997,4946,4973,4979,5079,5019,5016,4917,4772,4749,4665,4379,4163,4111,4096,4063,4135,4194,4255,4203,4114,3999,4015,4052,4090,4030,4030,4108,4109,4105,4089,4050,4091,4154,4240,4273,4256,4230,4168,4234,4329
17,Pichincha,540485,540489,542216,544218,545015,547317,549303,551845,559918,562922,567057,567089,573925,570320,578846,584872,590077,597214,601491,606404,616441,623460,628992,630390,640840,645577,655026,664507,679949,690627,699565,709346,721166,728569,735031,736652,750429,755201,764455,771717,780410,787409,795697,802511,812591,823487,830850,827446,845975,844828,851652,860688,863350,864488,869387,870962,878294,883437,888845,884091,889857,885832,884868,886178,887024,886966,888003,893270,901626,908199,908612,903542,909244,902647,904251,900779,898912,898657,895341,891877,891516,882827,872476,859199,849019,839211,832098,825516,820844,817157,814139,814505,816492,818910,817670,813454,815446,812347,815424,814226,811578,809969,807924,808447,810774,811956,814289,811517,814718,811630,814531,817306,819460,820597,820806,821382,824321,827932,829542,824699,828665,824970,823765,828434,827177,822982,823402,821337,823935,821056,821467,817406,821396,817688,808871,760878,728360,714287,709074,703033,706377,707917,713821,716350,720260,720602,723989,725718,728017,731824,734174,737704,744784,749808,753640,754007,760806,760859,765115,765948,768054,765843,767820,771750,776403
18,Tungurahua,32560,32852,33008,33313,33689,34120,34642,35037,35900,36391,36636,36840,37783,37953,38737,39659,40588,42763,43489,44017,45029,45661,46468,47008,48132,48871,49553,50659,52401,54418,55678,56753,58176,59082,59908,61068,62189,62869,63731,64297,64892,65390,65797,66376,67446,68283,68823,68273,69363,69231,69601,70007,70031,70282,70540,70425,70748,71211,71548,71227,72105,72171,72499,72676,72397,72286,71955,72204,72782,73075,72883,72589,72918,72658,73236,73129,73110,73228,72391,71799,71909,71766,71133,70401,69482,68855,68397,67754,67137,66697,66294,66127,66338,66049,65757,65675,65649,65445,66023,65884,65989,66241,66225,66404,67184,67566,67747,67533,68650,68976,69250,69553,69635,69687,69393,69656,70306,70692,70878,70478,70624,70661,70806,70885,70615,70456,70567,70210,70078,69544,69403,68821,68685,68197,67524,64908,61662,59622,58334,57781,57810,58036,58107,57999,58300,58313,58939,58986,59066,59310,59572,59679,60141,60955,61284,60826,61250,61285,62051,62152,62692,62571,62989,63393,63793
19,Zamora Chinchipe,1222,1214,1248,1588,1659,1819,1951,2037,2030,2044,2073,2121,2163,2224,2328,2365,2425,2529,2637,2763,2958,3097,3220,3277,3311,3333,3345,3380,3554,3677,3837,4059,4295,4332,4292,4271,4244,4332,4462,4689,4809,4889,4845,4886,4956,5052,5153,5175,4876,4877,4872,4825,4826,4951,4812,4691,4674,4795,4894,4784,4712,4769,4809,4867,4861,5032,5000,5014,5123,5191,5197,5172,5198,5229,5341,5309,5274,5420,5440,5414,5383,5386,5367,5296,5296,5281,5191,5218,5214,5243,5315,5314,5315,5420,5330,5298,5212,5211,5289,5270,5437,5553,5691,5933,6147,6349,6676,6797,7774,7795,7899,7963,8009,7938,8051,8160,8161,8328,8504,8580,8467,8702,9261,9432,9609,9665,9697,9752,9830,9589,9347,9388,9182,9198,8982,8188,7703,7624,7534,7766,7927,8203,8420,8318,8133,8302,8416,8383,8335,8429,8592,8745,8844,8722,8610,8490,8623,8718,8943,9283,9344,9430,9544,9581,9577
20,Galápagos,2264,2308,2346,2397,2395,2432,2447,2497,2513,2565,2613,2646,2671,2655,2702,2748,2755,2822,2861,2906,2963,3006,3102,3174,3231,3288,3361,3441,3591,3751,3768,3818,3878,3992,4062,4109,4198,4181,4257,4310,4427,4423,4456,4501,4482,4523,4564,4570,4510,4471,4489,4485,4545,4541,4610,4589,4589,4647,4679,4669,4742,4751,4770,4788,4798,4802,4845,4948,4995,5188,5229,5266,5236,5249,5343,5358,5364,5365,5392,5353,5401,5427,5485,5468,5459,5444,5454,5428,5398,5430,5430,5406,5406,5386,5376,5424,5476,5482,5568,5549,5616,5636,5673,5691,5718,5781,5817,5838,5885,5890,5949,5964,5980,6009,6079,6158,6145,6227,6325,6366,6437,6412,6423,6406,6429,6447,6458,6508,6536,6574,6602,6553,6570,6583,6476,5569,4669,4371,4191,4070,3877,3849,3735,3718,3482,3392,3395,3401,3420,3443,3545,3571,3607,3671,3756,3803,3843,3928,3982,4075,4184,4266,4386,4484,4536
21,Sucumbíos,2959,2688,2726,2973,3025,3037,3015,3125,3259,3345,3378,3310,3491,3554,3689,3684,3853,4068,4391,4526,4961,5053,5160,5183,5066,5288,5479,5603,6122,6501,6800,6961,7181,7282,7480,7370,7570,7617,7661,7645,7848,8003,8114,8182,8205,8399,8463,8474,8892,8963,9086,9231,9384,9412,9658,9720,9803,9967,10164,10334,10600,10923,11228,11758,12012,11599,11622,11699,11884,11797,11578,10936,10685,10441,10175,9923,9829,9836,9743,9660,9619,9587,9217,8988,8717,8410,8205,7957,7927,7783,7756,7758,7712,7835,7640,7782,7750,7601,7572,7896,8097,7940,8067,8098,7901,8096,8135,8190,8407,8613,8555,8492,8491,8479,8570,8626,8747,9112,9295,8987,8907,8964,9018,9126,9124,9175,9321,9213,9301,9265,9196,9008,9261,9292,9055,8133,7779,7939,8259,8452,8516,8691,8764,8724,8396,8300,8496,8557,8526,8829,8842,8889,8969,9055,9180,9481,9527,9335,9439,9286,9537,9557,9577,9693,9879
22,Orellana,2358,2397,2397,2451,2573,2612,2655,2645,2760,2793,2790,2816,2909,2924,3022,3035,3133,3196,3318,3456,3590,3665,3740,3714,3814,3910,4075,4315,4890,5001,5146,5258,5461,5615,5768,5779,6069,6134,6303,6490,6746,6859,6907,7021,7225,7496,7514,7515,7991,7882,7963,8097,8101,8130,8124,8212,8413,8710,8696,8743,9010,9059,9126,9312,9332,9377,9433,9597,9689,9704,9867,9676,9522,9393,9455,9386,9104,8920,8965,8851,8767,8426,7872,7519,7123,7153,7053,6914,6891,6912,6812,6879,6905,6936,7026,7089,7048,7005,7200,7181,7202,7223,7100,7226,7388,7453,7488,7598,7614,7650,7607,7724,7658,7779,7883,8040,8141,8396,8581,8564,8618,8642,8620,8661,8677,8725,8721,8816,8651,8598,8596,8471,8790,8746,8601,7973,7460,7216,7117,6958,7128,7374,7696,7685,7491,7393,7522,7543,7517,7656,7718,7644,7941,8080,8156,7969,8083,8111,8360,8567,8648,8519,8677,8823,8949
23,Santo Domingo de los Tsáchilas,18669,18753,19275,19797,20187,20638,20669,21000,21229,20389,20386,20520,20838,20930,21330,21597,21923,22246,22602,22977,23150,23534,23851,23944,24551,24764,24860,25406,26705,27609,28213,28588,28905,29064,29004,28915,29298,29220,29347,29224,29529,29633,30037,30437,30519,30805,31171,31251,32464,32375,32476,32936,33223,33239,33664,34030,34411,34654,34866,34525,35245,35216,34959,34909,35040,35322,35404,35912,36132,36412,36634,36836,36889,36910,36654,36427,36380,36364,36320,36344,36487,36198,35975,35425,34730,34103,33749,33258,33361,33185,33067,32937,33057,33110,33435,33142,32958,32908,33066,32929,32995,33162,33335,33557,33762,34075,34307,34013,34325,34163,34309,34713,34751,34816,35127,35659,35812,36389,36249,35960,35803,35621,35528,35722,35574,35626,35876,35772,35821,35553,35466,35214,35550,35272,34937,33623,32140,31713,31673,31553,31591,31555,31693,31480,31353,31221,31388,31395,31338,31372,31298,31436,31490,31753,31755,31535,31780,31944,32013,32066,32172,32310,32380,32432,32445
24,Santa Elena,7982,7689,7618,7783,7614,7521,7838,8109,8243,8494,8515,8660,8541,8561,8730,9125,9028,9210,9488,9593,9570,9907,10004,10175,10470,10664,10738,11238,11422,11536,11918,12104,12244,12540,12948,13022,13357,13198,13080,13222,13325,13484,13701,13912,13761,14130,14342,14408,14298,14092,14063,13996,14090,14018,14172,14365,14721,15055,15245,15569,15919,15815,15802,15904,15975,16179,16343,16430,16388,16816,16918,16944,17245,17037,16891,16848,16740,16645,16636,16434,16380,16436,16370,16259,15802,15506,15131,15193,15044,14989,15190,15236,15076,15085,15217,15312,16885,16452,16301,16337,16448,16423,16411,16590,16700,16991,17102,16989,16117,15926,15997,16142,16068,16182,16316,16353,16330,16524,16372,16299,15636,15156,15138,15366,15405,15271,15377,15337,15466,15420,15485,15702,15444,15344,15130,14278,13762,13553,13548,13493,13524,13599,13489,13446,12783,12864,12938,12899,13043,13131,13403,13501,13529,13683,13755,13854,13880,13970,14102,14216,14309,14345,14386,14348,14398
90,Zonas no delimitadas,85,82,79,97,100,95,110,127,135,121,126,124,152,146,145,148,152,163,166,165,162,168,167,164,165,163,182,194,196,193,196,191,203,201,214,225,223,227,237,245,250,255,243,249,259,260,248,249,166,168,174,168,165,156,160,160,154,154,155,156,166,168,172,180,172,167,167,176,176,176,174,177,177,165,170,187,185,176,179,175,188,194,186,184,182,175,178,181,187,185,193,193,191,191,195,196,197,195,189,188,187,195,198,190,190,190,185,184,191,187,194,196,195,189,185,187,187,188,189,181,105,107,100,105,106,106,106,104,103,105,105,106,105,102,102,104,103,100,100,99,97,96,93,90,83,86,87,91,90,89,87,83,83,80,81,78,79,79,78,50,47,47,47,44,44
Z0_Nocla_ubicacion,,8,8,11,11,11,11,11,11,9,9,9,8,8,8,8,9,9,9,9,8,8,8,8,7,7,7,11,18,18,8,25,30,30,25,24,16,7,8,7,8,8,8,8,8,8,13,12,12,11,11,11,17,16,15,16,15,14,14,14,14,10,8,7,7,5,5,5,5,5,8,7,9,9,8,7,9,8,8,9,8,8,10,11,11,14,14,14,14,14,14,15,15,15,14,13,11,10,10,10,10,9,11,10,10,10,9,9,9,9,3,3,2,2,1,1,1,1,2,3,3,28,28,29,28,28,27,27,27,27,28,28,27,26,25,25,25,25,24,24,24,26,25,25,24,18941,19020,19174,19202,19289,19517,19460,19596,19687,19862,20145,20166,8665,8630,8650,8774,8745,8647,8635,8738,8773
